2004,,,,,,
Party,Votes,%,Seats,,,
Svatantra Bharat Satyagrah Party,2142,0,0,,,
Hind Congress Party,2094,0,0,,,
Tripura Peoples Party,2076,0,0,,,
Swatantra Samaj Party,2069,0,0,,,
Rashtriya Janmat Party,2058,0,0,,,
Uttar Pradesh Navnirman Sena,2051,0,0,,,
Uttarakhand Pragatisheel Party,2041,0,0,,,
Sajag Samaj Party,2041,0,0,,,
All India Praja Party,2023,0,0,,,
Andaman & Nicobar Janta Party,2017,0,0,,,
Karnataka Jantha Paksha,2013,0,0,,,
Indian Rakshaka Nayakudu Party,2012,0,0,,,
All India Uzhavargal Uzhaippalargal Katchi,1999,0,0,,,
Hamro Sikkim Party,1998,0,0,,,
Bhartiya Bhaichara Party,1995,0,0,,,
Sangharsh Sena,1987,0,0,,,
Adhunik Bharat Party,1976,0,0,,,
Rashtrawadi Chetna Party,1975,0,0,,,
Rashtriya Aadarsh Member Party,1965,0,0,,,
Sanman Rajkiya Paksha,1961,0,0,,,
Bharatiya Sampuran Krantikari Party,1948,0,0,,,
Rashtriya Dal United,1907,0,0,,,
Samajwadi Jan Parishad,1899,0,0,,,
Bhartiya Harit Party,1886,0,0,,,
Bhartiya Sarvjan Hitey Samaj Party,1852,0,0,,,
Rashtriya Gondvana Party,1850,0,0,,,
All India Minorities Front,1850,0,0,,,
Bundelkhand Kranti Dal,1849,0,0,,,
Republican Bahujan Sena,1820,0,0,,,
Jan Adesh Akshuni Sena,1812,0,0,,,
Bhartiya Kisan Union Samaj Party,1786,0,0,,,
Manipur Peoples Party,1783,0,0,,,
Rashtriya Bhagidari Samaj Party,1777,0,0,,,
Republican Party of India (Reformist),1777,0,0,,,
Rashtriya Matadata Party,1771,0,0,,,
Ahila India Dhayaga Makkal Munnetra Katchi,1765,0,0,,,
Al-Hind Party,1764,0,0,,,
Rashtriya Garib Dal,1749,0,0,,,
Vishwa Jana Party,1726,0,0,,,
Independent People’s Par,1723,0,0,,,
Pravasi Nivasi Party,1695,0,0,,,
Bharatiya Rashtravadi Samanta Party,1695,0,0,,,
Shri Janta Party,1672,0,0,,,
Mazdoor Dalit Kisaan Mahila Gareeb Party (Hindustani),1669,0,0,,,
Telangana Communist Party of India,1660,0,0,,,
Bharatiya Peoples Party,1649,0,0,,,
Rashtriya Samrasta Party,1648,0,0,,,
Rashtriya Naujawan Dal,1630,0,0,,,
National Lokmat Party,1628,0,0,,,
Jammu & Kashmir Pir Panjal Awami Party,1612,0,0,,,
Rashtriya Jantantrik Bharat Vikas Party,1600,0,0,,,
Rashtriya Jan Adhikar Party,1596,0,0,,,
Rashtriya Bahujan Congress Party,1574,0,0,,,
Kisan Majdoor Berojgar Sangh,1574,0,0,,,
Jwala Dal,1572,0,0,,,
Akhil Bharatiya Sena,1567,0,0,,,
Andhra Rastra Praja Samithi,1563,0,0,,,
Jan Shakti Ekta Party,1557,0,0,,,
Dr. Bhimrao Ambedkar Dal,1549,0,0,,,
Rashtrawadi Shramjeevi Dal,1548,0,0,,,
"Vishwa Manav Samaj Kalyan Parishad,",1529,0,0,,,
Bhartiya Azad Sena,1527,0,0,,,
Gujarat Janta Panchayat Party,1524,0,0,,,
Forward Democratic Labour Party,1519,0,0,,,
Republican Paksha (Khoripa),1506,0,0,,,
Sikkim Republican Party,1503,0,0,,,
Praja Satta Party,1462,0,0,,,
National Bhrashtachar Mukt Party,1453,0,0,,,
Engineers Party,1442,0,0,,,
Bhapase Party,1434,0,0,,,
Hum Sabki Party,1432,0,0,,,
Jai Hind Samaj Party,1431,0,0,,,
Rastriya Aam Jan Seva Party,1425,0,0,,,
Ahinsa Samaj Party,1424,0,0,,,
Rashtriya Janvikas Party (Democratic),1414,0,0,,,
Prism,1400,0,0,,,
Bhartiya Jan Sampark Party,1392,0,0,,,
Sabse Achchhi Party,1360,0,0,,,
Prajatantra Aadhar Party,1346,0,0,,,
Manav Kranti Party,1344,0,0,,,
Navodayam Party,1341,0,0,,,
Kalyankari Jantantrik Party,1336,0,0,,,
Rashtriya Vyapari Party,1326,0,0,,,
Yekikrutha Sankshema Rashtriya Praja Party,1320,0,0,,,
Puducherry Development Party,1319,0,0,,,
National Fifty Fifty Front,1308,0,0,,,
Shane Hind Fourm,1306,0,0,,,
Yuva Sarkar,1296,0,0,,,
Rashtra Vikas Zumbes Party,1290,0,0,,,
All Indian Rajiv Congress Party,1282,0,0,,,
Anjaan Aadmi Party,1281,0,0,,,
Ekta Samaj Party,1270,0,0,,,
Bharatiya Bahujan Parivartan Party,1268,0,0,,,
Rashtriya Janta Party,1264,0,0,,,
Andhra Chaitanya Party,1263,0,0,,,
Rashtriya Ambedkar Dal,1258,0,0,,,
Manipur Democratic Peoples's Front,1256,0,0,,,
United States of India Party,1244,0,0,,,
"Jharkhand Party (Secular),",1244,0,0,,,
Rayalaseema Rashtra Samithi,1229,0,0,,,
Rashtravadi Party (Bharat),1225,0,0,,,
Prem Janata Dal,1223,0,0,,,
Radical Democrats,1220,0,0,,,
Bhartiya Jan Samman Party,1218,0,0,,,
Karnataka Pragnyavantha Janatha Party,1207,0,0,,,
Bharatiya Prajagala Kalyana Paksha,1184,0,0,,,
Navsarjan Bharat Party,1160,0,0,,,
National Development Party,1138,0,0,,,
Navataram Party,1135,0,0,,,
Lokjagar Party,1135,0,0,,,
Makkalatchi Katchi,1115,0,0,,,
Vivasayigal Makkal Munnetra Katchi,1108,0,0,,,
Sarvjan Sewa Party,1085,0,0,,,
Bharatiya Bahujan Party,1069,0,0,,,
Rashtriya Janwadi Party (Socialist),1060,0,0,,,
New India Party,1059,0,0,,,
Jai Swaraj Party,1056,0,0,,,
Bharatiya Jan Morcha Party,1055,0,0,,,
National Youth Party,1053,0,0,,,
Telangana Sakalajanula Party,1048,0,0,,,
Bhartiya Nojawan Dal,1047,0,0,,,
National Apni Party,1044,0,0,,,
Hindu Samaj Party,1014,0,0,,,
Bahujana Raajyam Party (Phule Ambedkar),1008,0,0,,,
Akhil Bhartiya Ekata Party,1006,0,0,,,
Rashtriya Praja Congress (Secular),996,0,0,,,
Bharatiya Rashtravadi Paksha,992,0,0,,,
Navnirman Party,985,0,0,,,
Shiromani Lok Dal Party,984,0,0,,,
Bhartiya Vanchitsamaj Party,984,0,0,,,
Mera Adhikaar Rashtriya Dal,973,0,0,,,
Ahimsa Socialist Party,972,0,0,,,
Himachal Jan Kranti Party,970,0,0,,,
Lok Jan Sangharsh Party,968,0,0,,,
Challengers Party,958,0,0,,,
Bhartiya Naujawan Inklav Party,932,0,0,,,
Ambedkar Yug Party,921,0,0,,,
Janapaalana Party (Democratic),913,0,0,,,
All Pensioner’s Par,892,0,0,,,
National Nava Kranthi Party,887,0,0,,,
Akhil Bharatiya Manavata Paksha,885,0,0,,,
Saaf Party,882,0,0,,,
Hamari Apni Party,847,0,0,,,
Adarshwaadi Congress Party,838,0,0,,,
Bharatiya Sarvodaya Kranti Party,829,0,0,,,
Azad Mazdoor Kissan Party,829,0,0,,,
Indian Gandhiyan Party,824,0,0,,,
Bharatiya Majdoor Janta Party,822,0,0,,,
The Future India Party,820,0,0,,,
Raita Bharat Party,811,0,0,,,
Rashtriya Nav Nirman Bharat Party,811,0,0,,,
Socialist Janata Party,805,0,0,,,
Rashtriya Mangalam Party,798,0,0,,,
Rashtriya Janutthan Party,776,0,0,,,
Ilantamilar Munnani Kazhagam,748,0,0,,,
Rashtriya Janhit Sangharsh Party,747,0,0,,,
Bahujan Suraksha Dal,743,0,0,,,
Sarvodaya Prabhat Party,740,0,0,,,
Akhil Bhartiya Sarvadharma Samaj Party,735,0,0,,,
Samajtantric Party of India,730,0,0,,,
Bhartiya Pragatisheel Congress,724,0,0,,,
Inqalab Vikas Dal,718,0,0,,,
Adim Bhartiya Dal,716,0,0,,,
Jan Sangh Party,712,0,0,,,
Loktantrik Rashrtavadi Party,705,0,0,,,
Rashtriya Jansena Party,699,0,0,,,
Jai Vijaya Bharathi Party,696,0,0,,,
Punjab Labour Party,692,0,0,,,
Universal Brotherhood Movement,689,0,0,,,
SARVA VIKAS PARTY,688,0,0,,,
Majdoor Kisan Union Party,687,0,0,,,
Khusro Sena Party,687,0,0,,,
B. C. United Front,649,0,0,,,
Anaithu Makkal Katchi,645,0,0,,,
Akila India Vallalar Peravai,643,0,0,,,
National Dalitha Dhal Party,628,0,0,,,
Bhartiya Navodaya Party,619,0,0,,,
Sikkim United Front,614,0,0,,,
Mahila & Yuva Shakti Party,605,0,0,,,
Democratic Corruption Liberation Front,596,0,0,,,
Rashtriya Backward Party,584,0,0,,,
Fauji Janta Party,564,0,0,,,
Aadarsh Janata Sewa Party,551,0,0,,,
People’s Union Par,547,0,0,,,
Rashtriya Jatigat Aarakshan Virodhi Party,535,0,0,,,
Real Democracy Party,532,0,0,,,
Swarnim Bharat Inquilab,527,0,0,,,
Telangana Prajala Party,521,0,0,,,
Kartavya Rashtriya Party,512,0,0,,,
Akhil Bhartiya Lok Dal,503,0,0,,,
Bahujan Samyak Party (Mission),501,0,0,,,
Democratic Party of India,499,0,0,,,
Christian Democratic Front,494,0,0,,,
Bhartiya Janta Dal,489,0,0,,,
Lokpriya Samaj Party,478,0,0,,,
Rashtriya Vikas Party,477,0,0,,,
Rashtravadi Kranti Dal,475,0,0,,,
Jai Lok Party,473,0,0,,,
Bharatrashtra Democratic Party,472,0,0,,,
Republican Party of India Ektavadi,463,0,0,,,
Bhartiya Rashtrawadi Party,461,0,0,,,
United Democratic Front Secular,451,0,0,,,
Hardam Manavtawadi Rashtriya Dal,447,0,0,,,
Rashtriya Ahinsa Manch,440,0,0,,,
Bhartiya Janta Dal (Integrated),435,0,0,,,
Democratic Prajakranthi Party Secularist,429,0,0,,,
Sanjhi Virasat Party,419,0,0,,,
All Indians Party,396,0,0,,,
Gareeb Aadmi Party,385,0,0,,,
All Peoples Party,370,0,0,,,
Rajyadhikara Party,368,0,0,,,
Rashtriya Samta Vikas Party,349,0,0,,,
Daksha Party,346,0,0,,,
Tola Party,330,0,0,,,
Corruption Abolition Party,275,0,0,,,
Desh Janhit Party,273,0,0,,,
Independent,16467341,2.69,4,,,
,,6513355,1.06,,,
Vacant,,,,1,,
Nominated Anglo-Indian,,,,2,,
Total,,613146768,100,545,,
,,,,,,
Valid votes,,613146768,99.92,,,
Invalid/blank votes,,509530,0.08,,,
Total votes,,613656298,100,,,
Registered voters/turnout,,910512091,67.4,,,
,,,,,,
2024,,,,,,
Party/alliance,,,Votes,%,Seats,
NDA,,Bharatiya Janata Party,235974144,36.56,240,
,,Telugu Desam Party,12775270,1.98,16,
,,Janata Dal (United),8039663,1.25,12,
,,Shiv Sena,7401447,1.15,7,
,,Lok Janshakti Party (Ram Vilas),2810250,0.44,5,
,,Janata Dal (Secular),2173701,0.34,2,
,,Nationalist Congress Party,2059179,0.32,1,
,,Pattali Makkal Katchi,1879689,0.29,0,
,,Jana Sena Party,1454138,0.23,2,
,,Asom Gana Parishad,1298707,0.2,1,
,,Rashtriya Lok Dal,893460,0.14,2,
,,Apna Dal (Soneylal),808245,0.13,1,
,,Bharath Dharma Jana Sena,505753,0.08,0,
,,Hindustani Awam Morcha,494960,0.08,1,
,,United People's Party Liberal,488995,0.08,1,
,,Rashtriya Samaj Paksha,521746,0.08,0,
,,All Jharkhand Students Union,458677,0.07,1,
,,National People's Party,417930,0.06,0,
,,Tamil Maanila Congress,410401,0.06,0,
,,Amma Makkal Munnettra Kazhagam,393415,0.06,0,
,,Nationalist Democratic Progressive Party,350967,0.05,0,
,,Suheldev Bharatiya Samaj Party,340188,0.05,0,
,,Naga People's Front,299536,0.05,0,
,,Rashtriya Lok Morcha,253876,0.04,0,
,,Sikkim Krantikari Morcha,164396,0.03,1,
,Total,,282668733,43.8,293,
INDIA,,Indian National Congress,136758952,21.19,99,
,,Samajwadi Party,29549389,4.58,37,
,,All India Trinamool Congress,28213393,4.37,29,
,,Dravida Munnetra Kazhagam,11754710,1.82,22,
,,Communist Party of India (Marxist),11342553,1.76,4,
,,Rashtriya Janata Dal,10107402,1.57,4,
,,Shiv Sena (Uddhav Balasaheb Thackeray),9567779,1.48,9,
,,Aam Aadmi Party,7147800,1.11,3,
,,Nationalist Congress Party – Sharadchandra Paw,5921162,0.92,8,
,,Communist Party of India,3157184,0.49,2,
,,Jharkhand Mukti Morcha,2652955,0.41,3,
,,Indian Union Muslim League,1716186,0.27,3,
,,Communist Party of India (Marxist–Leninist) Liberati,1736761,0.27,2,
,,Bharat Adivasi Party,1257056,0.19,1,
,,Vikassheel Insaan Party,1187455,0.18,0,
,,Jammu and Kashmir National Conference,1147041,0.18,2,
,,Viduthalai Chiruthaigal Katchi,990237,0.15,2,
,,Rashtriya Loktantrik Party,596955,0.09,1,
,,Revolutionary Socialist Party,587363,0.09,1,
,,Marumalarchi Dravida Munnetra Kazhagam,542213,0.08,1,
,,Jammu and Kashmir Peoples Democratic Party,435980,0.07,0,
,,Assam Jatiya Parishad,414441,0.06,0,
,,Kerala Congress,364631,0.06,1,
,,All India Forward Bloc,284269,0.04,0,
,,Kerala Congress (Mani),277365,0.04,0,
,Total,,267711232,41.48,234,
YSR Congress Party,,,13316134,2.06,4,
Bahujan Samaj Party,,,13153830,2.04,0,
Biju Janata Dal,,,9412674,1.46,0,
All India Anna Dravida Munnetra Kazhagam,,,8952587,1.39,0,
Bharat Rashtra Samithi,,,3657237,0.57,0,
Naam Tamilar Katchi,,,3600088,0.56,0,
Shiromani Akali Dal,,,1814318,0.28,1,
Vanchit Bahujan Aaghadi,,,1582855,0.25,0,
All India Majlis-e-Ittehadul Muslimeen,,,1400215,0.22,1,
Desiya Murpokku Dravida Kazhagam,,,1128616,0.17,0,
Bodoland People's Front,,,777570,0.12,0,
Aazad Samaj Party (Kanshi Ram),,,691820,0.11,1,
Indian Secular Front,,,650229,0.1,0,
All India United Democratic Front,,,625954,0.1,0,
Voice of the People Party,,,571078,0.09,1,
Shiromani Akali Dal (Amritsar),,,521749,0.08,0,
Socialist Unity Centre of India (Communist),,,480987,0.07,0,
Gondwana Ganatantra Party,,,312997,0.05,0,
Bahujan Vikas Aaghadi,,,254517,0.04,0,
Peoples Party of India (Democratic),,,247985,0.04,0,
Indian National Lok Dal,,,226975,0.04,0,
Zoram People's Movement,,,208552,0.03,1,
Jammu and Kashmir Apni Party,,,208149,0.03,0,
Swabhimani Paksha,,,185371,0.03,0,
Gana Suraksha Party,,,180000,0.03,0,
Jammu and Kashmir People's Conference,,,174890,0.03,0,
Rashtriya Jansambhavna Party,,,168740,0.03,0,
Republican Party of India (Athawale),,,156302,0.02,0,
Twenty 20 Party,,,145450,0.02,0,
Mizo National Front,,,140264,0.02,0,
Ambedkarite Party of India,,,132444,0.02,0,
Bhartiya Shakti Chetna Party,,,115024,0.02,0,
Jannayak Janta Party,,,113827,0.02,0,
Akhil Bhartiya Parivar Party,,,110212,0.02,0,
Alliance of Democratic Reforms Party,,,108334,0.02,0,
Prahar Janshakti Party,,,90759,0.01,0,
Citizen Action Party – Sikk,,,83566,0.01,0,
New Rashtriya Samaj Party,,,83046,0.01,0,
Bharatheeya Jawan Kisan Party,,,78104,0.01,0,
Sikkim Democratic Front,,,77171,0.01,0,
Bahujan Maha Party,,,76254,0.01,0,
Viro Ke Vir Indian Party,,,75950,0.01,0,
Bahujan Mukti Party,,,73935,0.01,0,
Samata Party,,,73318,0.01,0,
Navarang Congress Party,,,67432,0.01,0,
Samnak Janta Party,,,67374,0.01,0,
Revolutionary Goans Party,,,64629,0.01,0,
Voters Party International,,,63496,0.01,0,
Lokhit Adhikar Party,,,62136,0.01,0,
Moolniwasi Samaj Party,,,61033,0.01,0,
Ekam Sanatan Bharat Dal,,,61024,0.01,0,
Right to Recall Party,,,58024,0.01,0,
Rashtriya Shoshit Samaj Party,,,53911,0.01,0,
Bhagidari Party (P),,,51979,0.01,0,
Karnataka Rashtra Samithi,,,51529,0.01,0,
Sardar Patel Siddhant Party,,,46145,0.01,0,
Republican Party of India (A),,,45567,0.01,0,
United Democratic Party (Meghalaya),,,44563,0.01,0,
Social Democratic Party of India,,,42465,0.01,0,
Hamar Raj Party,,,40746,0.01,0,
Democratic Progressive Azad Party,,,40665,0.01,0,
Uttama Prajaakeeya Party,,,40491,0.01,0,
Indian Peoples Green Party,,,39778,0.01,0,
Apna Dal (Kamerawadi),,,39128,0.01,0,
Dharma Samaj Party,,,38730,0.01,0,
Peace Party of India,,,38506,0.01,0,
Baliraja Party,,,33787,0.01,0,
Bahujan Bharat Party,,,32870,0.01,0,
Rashtra Uday Party,,,30073,0,0,
Bahujan Republican Socialist Party,,,29619,0,0,
Aadarsh Mithila Party,,,29550,0,0,
Samaj Shakti Party,,,29235,0,0,
Rashtriya Samanta Dal,,,28340,0,0,
Bharatiya Nyay-Adhikar Raksha Party,,,28192,0,0,
Bharatiya Yuva Jan Ekta Party,,,27969,0,0,
Pyramid Party of India,,,27966,0,0,
Bharatiya Gana Parishad,,,27554,0,0,
Abhinav Rajasthan Party,,,26294,0,0,
Bharatiya Praja Aikyata Party,,,26271,0,0,
Moulik Adhikar Party,,,25490,0,0,
Bhim Sena,,,25345,0,0,
Sanyukt Kisan Vikas Party,,,25291,0,0,
Prabuddha Republican Party,,,24361,0,0,
Bhartiya Sarthak Party,,,23640,0,0,
Jammu and Kashmir National Panthers Party (Bhim),,,23268,0,0,
Jatiya Jana Sena Party,,,22935,0,0,
Jai Bharat National Party,,,22466,0,0,
Al-Hind Party,,,22308,0,0,
Yuga Thulasi Party,,,22247,0,0,
Jagrook Janta Party,,,21566,0,0,
Bahujan Dravida Party,,,21388,0,0,
Shakti Sena (Bharat Desh),,,21036,0,0,
Maharashtra Vikas Aghadi,,,20721,0,0,
Desh Janhit Party,,,20498,0,0,
Manas Lokshakti Dal,,,20450,0,0,
Sarv Adi Dal,,,20348,0,0,
Log Party,,,20123,0,0,
Socialist Party (India),,,19941,0,0,
Jharkhand Party,,,19527,0,0,
Rashtriya Jan Kalyan Party Secular,,,19495,0,0,
Jharkhand People's Party,,,19494,0,0,
Rashtriya Jansabha Party,,,19318,0,0,
Republican Sena,,,18793,0,0,
Naba Bharata Nirmana Seva Party,,,18570,0,0,
Janta Kranti Party (Rashtravadi),,,18401,0,0,
Samajhdar Party,,,18223,0,0,
Jai Maha Bharath Party,,,18133,0,0,
Mithilanchal Mukti Morcha,,,18025,0,0,
Kisan Mazdoor Sangharsh Party,,,17336,0,0,
Bharatha Chaitanya Yuvajana Party,,,17173,0,0,
The National Road Map Party of India,,,17126,0,0,
India Praja Bandhu Party,,,16942,0,0,
Navataram Party,,,16864,0,0,
Rashtriya Sanatan Party,,,16859,0,0,
National Apni Party,,,16694,0,0,
Karpoori Janta Dal,,,16512,0,0,
Wazib Adhikar Party,,,16506,0,0,
Sainik Samaj Party,,,16040,0,0,
Bhartiya Lokmat Rashtrwadi Party,,,15411,0,0,
Pragatisheel Manav Samaj Party,,,15250,0,0,
Jan Janwadi Party,,,15240,0,0,
Jaibhim Rao Bharat Party,,,15165,0,0,
Hindustan Vikas Dal,,,15140,0,0,
Aam Janta Party (India),,,14729,0,0,
Jai Prakash Janata Dal,,,14477,0,0,
Rashtriya Praja Congress (Secular),,,14219,0,0,
Jantantra Awaj Party,,,14218,0,0,
Mulnibasi Party of India,,,14168,0,0,
"Proutist Bloc, India",,,14110,0,0,
Malwa Congress,,,13925,0,0,
Hindu Samaj Party,,,13824,0,0,
Rashtriya Ulama Council,,,13657,0,0,
Rashtriya Jan Jan Party,,,13213,0,0,
Jai Hind Party,,,13014,0,0,
Naadaalum Makkal Katchi,,,12895,0,0,
Swatantrata Abhivyakti Party,,,12741,0,0,
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,,,12735,0,0,
Bhartiya Lok Nayak Party,,,12411,0,0,
Mahanwadi Party,,,12364,0,0,
Rashtriya Kisan Bahujan Party,,,12309,0,0,
Parivartan Samaj Party,,,12304,0,0,
Naki Bharatiya Ekta Party,,,12299,0,0,
Praja Velugu Party,,,12199,0,0,
Bhartiya Rashtriya Dal,,,12178,0,0,
Rashtrawadi Janlok Party (Satya),,,12049,0,0,
Azad Adhikar Sena,,,12021,0,0,
Bharatiya Jan Kranti Dal (Democratic),,,11914,0,0,
Anna YSR Congress Party,,,11459,0,0,
Rashtriya Gondvana Party,,,11446,0,0,
National Loktantrik Party,,,11286,0,0,
Desiya Makkal Sakthi Katchi,,,11211,0,0,
Kamatapur People’s Party (Unite,,,11206,0,0,
Bhartiya Dalit Party,,,11139,0,0,
National Jan Dal,,,11116,0,0,
United Republican Party of India,,,10997,0,0,
Hindustan People's Party (Democratic),,,10992,0,0,
Bharatiya Momin Front,,,10972,0,0,
Rashtra Nirman Party,,,10964,0,0,
Rashtriya Samaj Dal (R),,,10877,0,0,
Telangana Sakalajanula Party,,,10859,0,0,
Swarajya Shakti Sena,,,10802,0,0,
Swatantra Jantaraj Party,,,10627,0,0,
Pragatisheel Samaj Party,,,10553,0,0,
Apna Kisan Party,,,10538,0,0,
Dalita Bahujana Party,,,10311,0,0,
National Nava Kranthi Party,,,10284,0,0,
Bharatiya Kisan Parivartan Party,,,10272,0,0,
Rashtriya Uttarakhand Party,,,10026,0,0,
Indian National League,,,9918,0,0,
Akhil Hind Forward Bloc (Krantikari),,,9902,0,0,
Asom Jana Morcha,,,9895,0,0,
Rashtriya Devbhumi Party,,,9781,0,0,
Aam Janta Party Rashtriya,,,9760,0,0,
Autonomous State Demand Committee,,,9633,0,0,
Bahujan Samaj Party (Ambedkar),,,9391,0,0,
Sanatan Sanskriti Raksha Dal,,,9347,0,0,
Rashtriya Jan Awaz Party,,,9299,0,0,
Telangana Praja Shakthi Party,,,9290,0,0,
Uttarakhand Kranti Dal,,,9270,0,0,
Bharatiya National Janata Dal,,,9258,0,0,
Bharatiya Bahujan Congress,,,9165,0,0,
Jan Sewa Driver Party,,,9135,0,0,
Anti Corruption Dynamic Party,,,9128,0,0,
Samaniya Makkal Nala Katchi,,,8990,0,0,
Minorities Democratic Party,,,8978,0,0,
Hindrashtra Sangh,,,8970,0,0,
Jai Samta Party,,,8933,0,0,
Janata Congress,,,8900,0,0,
Liberation Congress Party,,,8900,0,0,
Bhartiya Kranti Vir Party,,,8749,0,0,
Yuva Krantikari Party,,,8736,0,0,
Akhil Bhartiya Apna Dal,,,8678,0,0,
Abhay Samaj Party,,,8583,0,0,
New India United Party,,,8542,0,0,
Social Justice Party of India,,,8519,0,0,
Mera Adhikaar Rashtriya Dal,,,8514,0,0,
Democratic Bharatiya Samaj Party,,,8472,0,0,
Jammu and Kashmir Nationalist People's Front,,,8453,0,0,
Parcham Party of India,,,8404,0,0,
Dhanwan Bharat Party,,,8389,0,0,
Nationalist Justice Party,,,8357,0,0,
Eklavya Samaj Party,,,8352,0,0,
Aravor Munnetra Kazhagam,,,8345,0,0,
Andaman Nicobar Democratic Congress,,,8254,0,0,
Purvanchal Mahapanchayat,,,8217,0,0,
Janhit Sankalp Party,,,8194,0,0,
Aas Punjab Party,,,8114,0,0,
Dr. Ambedkar People's Party,,,8089,0,0,
Dhesiya Makkal Kazhagam,,,8089,0,0,
Hindustan Janta Party,,,7914,0,0,
Rashtriya Jansangharsh Swaraj Party,,,7803,0,0,
Ganasangam Party of India,,,7776,0,0,
Gunj Satya Ni Janata Party,,,7761,0,0,
Bajjikanchal Vikas Party,,,7747,0,0,
Bharat Jan Jagran Dal,,,7736,0,0,
Global Republican Party,,,7734,0,0,
Praja Shanthi Party,,,7696,0,0,
Jai Swaraj Party,,,7684,0,0,
Rashtriya Jankranti Party,,,7646,0,0,
Haryana Jansena Party,,,7646,0,0,
Loktantrik Samajwadi Party,,,7554,0,0,
Naam Indiar Party,,,7430,0,0,
All India Arya Mahasabha,,,7345,0,0,
Manavtawadi Samaj Party,,,7136,0,0,
Samruddha Odisha,,,7087,0,0,
Marxist Leninist Party of India (Red Flag),,,7085,0,0,
Jan Sangh Party,,,7060,0,0,
Sarv Samaj Party,,,6879,0,0,
Andhra Rastra Praja Samithi,,,6846,0,0,
Subhashwadi Bhartiya Samajwadi Party (Subhas Party),,,6698,0,0,
Vishwa Kalyan Rashtriya Manav Samaj Party,,,6678,0,0,
Party for Democratic Socialism,,,6651,0,0,
Arunachal Democratic Party,,,6622,0,0,
Rashtriya Jansanchar Dal,,,6617,0,0,
Samata Samadhan Party,,,6614,0,0,
Nyaydharmsabha,,,6607,0,0,
Bheem Tribal Congress,,,6603,0,0,
Loktantrik Samajik Nyay Party,,,6542,0,0,
Samaj Vikas Kranti Party,,,6373,0,0,
Bharat Jago Janta Party,,,6340,0,0,
Rashtriya Janshakti Party (Secular),,,6251,0,0,
Chhattisgarh Vikas Ganga Rashtriya Party,,,6227,0,0,
Bhartiya Awam Party (Rastriya),,,6160,0,0,
Aapki Awaaz Party,,,6087,0,0,
Sanman Rajkiya Paksha,,,6075,0,0,
North Bengal People’s Par,,,6073,0,0,
Bharat Jodo Party,,,6045,0,0,
Aapki Apni Party (Peoples),,,6033,0,0,
Bhartiya Jan Samman Party,,,5968,0,0,
Rashtra Sewa Dal,,,5919,0,0,
Telugu Rajadhikara Samiti Party,,,5906,0,0,
Bhartiya Lok Chetna Party,,,5852,0,0,
Aihra National Party,,,5833,0,0,
Indian National Socialistic Action Forces,,,5781,0,0,
Uttarakhand Parivartan Party,,,5778,0,0,
Sarva Janata Party,,,5771,0,0,
Bhartiya Krishak Dal,,,5723,0,0,
Rashtravadi Bharat Party,,,5702,0,0,
Hindustan Shakti Sena,,,5625,0,0,
Bharatiya Aam Awam Party,,,5585,0,0,
Jaathia Chethi Vruthula Ikya Vedika Party,,,5568,0,0,
Karnataka Jantha Paksha,,,5491,0,0,
Adarsh Nyay Rakshak Party,,,5484,0,0,
All India Majlis-E-Inquilab-E-Millat,,,5454,0,0,
Jai Hind National Party,,,5451,0,0,
National Awami United Party,,,5319,0,0,
Samaj Parivartan Party,,,5303,0,0,
Samyak Party,,,5250,0,0,
Krupaa Party,,,5242,0,0,
Delhi Janta Party,,,5235,0,0,
Dharmarajya Paksha,,,5233,0,0,
Bhartiya Navjawan Sena (Paksha),,,5183,0,0,
Kisan Kranti Dal,,,5153,0,0,
Sardar Vallabhbhai Patel Party,,,5152,0,0,
Sapaks Party,,,5149,0,0,
Sabhi Jan Party,,,5147,0,0,
Apni Ekta Party,,,5139,0,0,
Rashtriya Garib Dal,,,5105,0,0,
Loktantra Congress Party,,,5100,0,0,
National World Leader Party,,,5063,0,0,
Public Political Party,,,5054,0,0,
Janhit Kisan Party,,,5030,0,0,
Political Justice Party,,,5023,0,0,
Sarvjan Samta Party,,,5020,0,0,
Hindustan Samaj Party,,,4991,0,0,
Bharat Rakshak Party (Democratic),,,4961,0,0,
Jay Vidarbha Party,,,4951,0,0,
Punjab National Party,,,4934,0,0,
Amra Bangalee,,,4925,0,0,
Bhartiya Gandhiwadi Party,,,4822,0,0,
Rashtriya Republican Party,,,4801,0,0,
Sikkim Republican Party,,,4799,0,0,
Puthiya Makkal Tamil Desam Katchi,,,4768,0,0,
Rashtriya Mahaswaraj Bhumi Party,,,4764,0,0,
Vidhyarthula Rajakiya Party,,,4747,0,0,
Bhartiya Rashtriya Ekta Dal,,,4732,0,0,
Anna MGR Dravida Makkal Kalgam,,,4629,0,0,
Shoshit Samaj Dal,,,4618,0,0,
Janseva Gondwana Party,,,4617,0,0,
Bharat Mahaparivar Party,,,4582,0,0,
Janshakti Samta Party,,,4577,0,0,
Tipu Sultan Party,,,4547,0,0,
Bhartiya Samajik Party,,,4507,0,0,
Karunaadu Party,,,4481,0,0,
Telangana Rashtra Punahnirmana Samithi,,,4433,0,0,
Azad Janata Party,,,4429,0,0,
