2004,,,,,,,,,,,,,,,,
By state and territory,,,,,,,,,,,,,,,,
States,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State/Union Territory,Seats,,,,,,,,,,,,,,,
,,UPA,NDA,LF,Others,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.5064,8.4,1,,,,,,,,,,,,,
Indian National Congress,0.4035,13.55,0,,,,,,,,,,,,,
Aam Aadmi Party,0.0302,18,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Dadra and Nagar Havel,,,,,,,,,,,,,,,,
IND (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.4092,7.98,0, 1,,,,,,,,,,,,
Independent,0.4544,New,1, 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daman and Diu (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Daman and Di,,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.4298,10.82,1,,,,,,,,,,,,,
Indian National Congress,0.3162,11.68,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCT of Delhi (7),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Delh,,,,,,,,,,,,,,,,
BJP (7),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.5656,10.16,7,,,,,,,,,,,,,
Indian National Congress,0.2251,7.41,0,,,,,,,,,,,,,
Aam Aadmi Party,0.1811,16.79,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Lakshadweep (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Lakshadwee,,,,,,,,,,,,,,,,
NCP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Nationalist Congress Party,0.4861,1.49,1,,,,,,,,,,,,,
Indian National Congress,0.4686,0.26,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Puducherry (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Puducherr,,,,,,,,,,,,,,,,
INC (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Indian National Congress,0.5627,29.97,1,1,,,,,,,,,,,,
All India N.R. CongressÂ (NDA,0.3136,3.24,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Andhra Pradesh (25),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Andhra Prades,,,,,,,,,,,,,,,,
YSRCP (22),TDP (3),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Seats[21],,,Popular vote[b],,,,,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp,,,,,,,,,
,YSR Congress Party,25,22,14,15537006,49.89,4.22,,,,,,,,,
,Telugu Desam Party,25,3,12,12515345,40.19,0.61,,,,,,,,,
,Jana Sena Party,18,0,,1829346,5.87,New,,,,,,,,,
,Indian National Congress,25,0,,406977,1.31,1.55,,,,,,,,,
,Bharatiya Janata Party,25,0,2,303985,0.98,6.24,,,,,,,,,
Total (valid votes),,,25,,31143712,100,,,,,,,,,,
Registered voters / Turnout,,,,,39405967,80.22,2.01,,,,,,,,,
,,,,,,,,,,,,,,,,
Arunachal Pradesh (2),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Arunachal Prades,,,,,,,,,,,,,,,,
BJP (2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.5822,10.42,2, 1,,,,,,,,,,,,
Indian National Congress,0.2069,23.01,0, 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Assam (14),,,,,,,,,,,,,,,,
BJP (9),INC (3),AIUDF (1),IND (1),,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Assa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Alliance/Party,,,,Seats,,,Popular vote,,,,,,,,,
,,,,Contested,Won,+/â,Votes,%,±pp,,,,,,,
,NDA,,BJP,10,9,2,"64,84,596",0.3641,0.09,,,,,,,
,,,AGP,3,0,,"14,80,697",0.0831,4.51,,,,,,,
,,,BPF,1,0,,"4,46,774",0.025,0.29,,,,,,,
,,Total,,14,9,2,"84,12,067",0.4678,-,,,,,,,
,UPA,,INC,14,3,,"63,73,659",0.3579,6.19,,,,,,,
-,-,,AIUDF,3,1,2,"14,02,088",0.0787,6.93,,,,,,,
-,-,,IND,14,1,,"4,84,560",4.3,5.32,,,,,,,
,,,,,,,,,,,,,,,,
Bihar (40),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Biha,,,,,,,,,,,,,,,,
BJP (17),JDU (16),LJP (6),INC (1),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.2158,6.82,17, 5,,,,,,,,,,,,
Janata Dal (United)Â (NDA,0.1981,4.01,16, 14,,,,,,,,,,,,
Lok Janshakti PartyÂ (NDA,0.0786,1.46,6,,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.077,0.7,1, 1,,,,,,,,,,,,
Rashtriya Janata DalÂ (UPA,0.1636,2.74,0, 4,,,,,,,,,,,,
Rashtriya Lok Samta PartyÂ (UPA,---,---,0, 3,,,,,,,,,,,,
Nationalist Congress Party,0.101,1.1,0, 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chhattisgarh (11),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Chhattisgar,,,,,,,,,,,,,,,,
BJP (9),INC (2),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parties and coalitions,,Seats,,,Popular vote,,,,,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp,,,,,,,,,
,Bharatiya Janata Party,11,9,1,"69,02,477",0.5144, 1.79%,,,,,,,,,
,Indian National Congress,11,2,1,"55,69,283",0.4151,0.0242,,,,,,,,,
,Bahujan Samaj Party,11,0,,"3,13,261",0.0233, 0.31%,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,11,,,"1,34,18,288",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Valid votes,,"1,34,18,288",98.55,,,,,,,,,,,,,
Votes cast / turnout,,"1,36,14,553",73.79,,,,,,,,,,,,,
Registered voters,,"1,84,50,225",100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Goa (2),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Go,,,,,,,,,,,,,,,,
BJP (1),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.5118,2.22%,1,1,,,,,,,,,,,,
Indian National Congress,0.4292,0.0632,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gujarat (26),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Gujara,,,,,,,,,,,,,,,,
BJP (26),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.6221,2.1,26,,,,,,,,,,,,,
Indian National Congress,0.3211,1.34,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Haryana (10),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Haryan,,,,,,,,,,,,,,,,
BJP (10),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parties and coalitions,,Seats,,,Popular vote[22],,,,,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp,,,,,,,,,
,Bharatiya Janata Party,10,10,3,"73,57,347",58.21,23.51,,,,,,,,,
,Indian National Congress,10,0,1,"36,04,106",28.51, 5.61,,,,,,,,,
,Jannayak Janata Party,7,0,New,"6,19,970",4.9,New,,,,,,,,,
,Bahujan Samaj Party,8,0,,"4,61,273",3.65,0.95,,,,,,,,,
,Indian National Lok Dal,10,0,2,"2,40,258",1.9,22.5,,,,,,,,,
Total,,,10,,"1,26,39,755",100,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Himachal Pradesh (4),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Himachal Prades,,,,,,,,,,,,,,,,
BJP (4),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.6911,15.8,4,,,,,,,,,,,,,
Indian National Congress,0.273,13.40,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jammu and Kashmir (6),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Jammu and Kashmi,,,,,,,,,,,,,,,,
BJP (3),JKNC (3),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.4639,11.99,3,,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.2847,5.6,0,,,,,,,,,,,,,
Jammu & Kashmir People's Democratic Party,0.0237,18.13,0,3,,,,,,,,,,,,
Jammu & Kashmir National ConferenceÂ (UPA,0.0789,3.21,3,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jharkhand (14),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Jharkhan,,,,,,,,,,,,,,,,
BJP (11),AJSU (1),INC (1),JMM (1),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.5096,10.86,11,1,,,,,,,,,,,,
All Jharkhand Students UnionÂ (NDA,0.0433,New,1,1,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.1563,2.33,1,1,,,,,,,,,,,,
Jharkhand Mukti MorchaÂ (UPA,0.1151,2.21,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Karnataka (28),,,,,,,,,,,,,,,,
BJP (25),INC (1),JDS (1),IND (1),,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Karnatak,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.5138,8.38,25,8,,,,,,,,,,,,
IndependentÂ (NDA,---,---,1,1,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.3188,8.92,1,8,,,,,,,,,,,,
Janata Dal (Secular)Â (UPA,0.0967,1.33,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kerala (20),,,,,,,,,,,,,,,,
INC (15),IUML (2),CPI M (1),KCM (1),RSP (1),,,,,,,,,,,,
Main article:Â 2019 Indian general election in Keral,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Alliance/Party,,,,Popular vote,,,Seats,,,,,,,,,
,,,,Votes,%,±pp,Contested,Won,+/â,,,,,,,
,UDF,,INC,7596610,0.3746, 6.36%,16,15, 7,,,,,,,
,,,IUML,1111697,0.0548, 0.94%,2,2,,,,,,,,
,,,RSP,499677,0.0246, 0.19%,1,1,,,,,,,,
,,,KEC(M),421046,0.0208, 0.28%,1,1,,,,,,,,
,,Total,,9629030,47.48Â , 5.50%,20,19, 7,,,,,,,
,LDF,,CPI(M),5266510,0.2597, 4.38%,14,1, 4,,,,,,,
,,,CPI,1233886,0.0608, 1.51%,4,0, 1,,,,,,,
,,,LDF Ind.,655991,0.0424, 5.01%,2,0, 2,,,,,,,
,,Total,,7156387,0.3629, 3.83%,20,1, 7,,,,,,,
,NDA,,BJP,2635810,0.13, 2.67%,15,0,,,,,,,,
,,,BDJS,380847,0.0188,New,4,0,,,,,,,,
,,,KC (T),155135,0.0076,New,1,0,,,,,,,,
,,Total,,3171792,0.1564, 4.82%,20,0,,,,,,,,
Total,,,,20397168,1, 3.95%,,20,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Madhya Pradesh (29),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Madhya Prades,,,,,,,,,,,,,,,,
BJP (28),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.58,4,28,1,,,,,,,,,,,,
Indian National Congress,0.345,0.40,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Maharashtra (48),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Maharashtr,,,,,,,,,,,,,,,,
BJP (23),SHS (18),INC (1),NCP (4),AIMIM (1),IND (1),,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parties and coalitions,,Seats,,,Popular vote,,,,,,,,,,,
,,Contested,Won,+/â,Votes[23],%,±pp,,,,,,,,,
,Bharatiya Janata Party,25,23,,14912139,0.2784,0.0028,,,,,,,,,
,Shiv Sena,23,18,,12589064,0.235,0.0268,,,,,,,,,
,Nationalist Congress Party,19,4,,8387363,0.1566,0.0045,,,,,,,,,
,Indian National Congress,25,1,1,8792237,0.1641,0.0188,,,,,,,,,
,AIMIM,1,1,1,389042,0.0073,New,,,,,,,,,
,Vanchit Bahujan Aaghadi,47,0,,3743560,0.0692,New,,,,,,,,,
,Independents,,1,1,1992817,0.0372,0.0044,,,,,,,,,
,NOTA,48,-,-,488766,0.0091,-,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,48,,,"5,35,65,479",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Valid votes,,"5,35,65,479",99.09,,,,,,,,,,,,,
Votes cast / turnout,,"5,40,54,245",60.95,,,,,,,,,,,,,
Registered voters,,"8,86,76,946",100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manipur (2),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Manipu,,,,,,,,,,,,,,,,
BJP (1),NPF (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.3422,22.32,1,1,,,,,,,,,,,,
Naga People's Front,0.2248,2.58,1,1,,,,,,,,,,,,
Indian National Congress,0.2463,17.07,0,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Meghalaya (2),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Meghalay,,,,,,,,,,,,,,,,
NPP (1),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party(NDA),0.0793,0.97,0,,,,,,,,,,,,,
Indian National Congress,0.4828,10.38,1,,,,,,,,,,,,,
National People's Party(NDA),0.2227,0.07,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mizoram (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Mizora,,,,,,,,,,,,,,,,
MNF (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Mizo National Front(NDA),0.4489,44.89,1,1,,,,,,,,,,,,
Indian National Congress,43.26,-5.33,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nagaland (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Nagalan,,,,,,,,,,,,,,,,
NDPP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Nationalist Democratic Progressive PartyÂ (NDA,0.4973,New,1,1,,,,,,,,,,,,
Indian National Congress,0.4811,18.01,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Odisha (21),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Odish,,,,,,,,,,,,,,,,
BJD (12),BJP (8),INC (1),,,,,,,,,,,,,,
BJD,BJP,INC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Biju Janata Dal,0.4276,1.34%,12,8,,,,,,,,,,,,
Bharatiya Janata Party,0.3837,0.1687,8,7,,,,,,,,,,,,
Indian National Congress,0.1381,12.19%,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Punjab (13),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Punja,,,,,,,,,,,,,,,,
BJP (2),INC (8),AAP (1),SAD (2),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Indian National Congress,0.4012,7.02,8,5,,,,,,,,,,,,
Shiromani Akali DalÂ (NDA,0.2745,7.15,2,2,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.0963,0.93,2,,,,,,,,,,,,,
Aam Aadmi Party,0.0738,23.02,1,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rajasthan (25),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Rajastha,,,,,,,,,,,,,,,,
BJP (24),RLP (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.5847,3.57,24,1,,,,,,,,,,,,
Rashtriya Loktantrik PartyÂ (NDA,0.0203,New,1,1,,,,,,,,,,,,
Indian National Congress,0.3424,3.84,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sikkim (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Sikki,,,,,,,,,,,,,,,,
SKM (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Sikkim Krantikari Morcha,0.4746,7.96,1,1,,,,,,,,,,,,
Sikkim Democratic Front,0.4392,9.08,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tamil Nadu (39),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Tamil Nad,,,,,,,,,,,,,,,,
DMK (24),INC (8),CPM (2),AIDMK(1),CPI (2),VCK (1),IUML (1),,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Dravida Munnetra KazhagamÂ (UPA,0.3276,9.16,24,24,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.1276,---,8,8,,,,,,,,,,,,
Communist Party of IndiaÂ (UPA,0.0243,---,2,2,,,,,,,,,,,,
Communist Party of India (Marxist)Â (UPA,0.024,---,2,2,,,,,,,,,,,,
All India Anna Dravida Munnetra KazhagamÂ (NDA,0.1848,25.82,1,36,,,,,,,,,,,,
Indian Union Muslim LeagueÂ (UPA,0.0111,---,1,1,,,,,,,,,,,,
Viduthalai Chiruthaigal KatchiÂ (UPA,---,---,1,1,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.0366,1.84,0,1,,,,,,,,,,,,
Pattali Makkal KatchiÂ (NDA,0.0542,1.02,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Telangana (17),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Telangan,,,,,,,,,,,,,,,,
TRS (9),BJP (4),INC (3),AIMIM (1),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parties and coalitions,,Seats,,,Popular vote,,,,,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp[c],,,,,,,,,
,Bharat Rashtra Samithi,17,9,2,"76,96,848",41.71,6.77,,,,,,,,,
,Indian National Congress,17,3,1,"54,96,686",29.79,5.11,,,,,,,,,
,Bharatiya Janata Party,17,4,3,"36,26,173",19.65,9.19,,,,,,,,,
,All India Majlis-E-Ittehadul Muslimeen,1,1,,"5,17,471",2.8,0.73,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,17,,,"1,84,52,097",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Valid votes,,"1,84,52,097",98.55,,,,,,,,,,,,,
Votes cast / turnout,,"1,86,42,895",62.75,,,,,,,,,,,,,
Registered voters,,"2,97,08,615",100,,,,,,,,,,,,,
Source:Â eci.gov.i,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tripura (2),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Tripur,,,,,,,,,,,,,,,,
BJP (2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.4903,43.33,2,2,,,,,,,,,,,,
Indian National Congress,0.2534,10.14,0,,,,,,,,,,,,,
Communist Party of India (Marxist),0.1731,46.69,0,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Uttar Pradesh (80),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Uttar Prades,,,,,,,,,,,,,,,,
BJP (62),ADS (2),BSP (10),SP (5),INC (1),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Alliance/Party,,,,Seats,,,Popular vote,,,,,,,,,
,,,,Contested,Won,+/â,Votes,%,±pp,,,,,,,
,NDA,,Bharatiya Janata Party,78,62,9,"4,28,58,171",0.4998,0.0735,,,,,,,
,,,Apna Dal (Sonelal),2,2,,"10,39,478",0.0121,0.2,,,,,,,
,,Total,,80,64,9,"4,38,97,649",0.5119, 7.55%,,,,,,,
,Mahagathbandhan,,Bahujan Samaj Party,38,10,10,"1,66,59,754",0.1943,0.34,,,,,,,
,,,Samajwadi Party,37,5,,"1,55,33,620",0.1811,4.24,,,,,,,
,,,Rashtriya Lok Dal,3,0,,"14,47,363",0.0169,0.83,,,,,,,
,,Total,,78,15,10,"3,36,40,737",0.3923, 5.41%,,,,,,,
,UPA,,Indian National Congress,67,1,1,"54,57,352",0.0636,1.17,,,,,,,
,,,,,,,,,,,,,,,,
Uttarakhand (5),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Uttarakhan,,,,,,,,,,,,,,,,
BJP (5),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.6101,5.71,5,,,,,,,,,,,,,
Indian National Congress,0.314,2.60,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
West Bengal (42),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in West Benga,,,,,,,,,,,,,,,,
AITC (22),BJP (18),INC (2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parties/ Alliance,,,,Seats,,,Popular vote,,,,,,,,,
,,,,Contested,Won,+/â,Votes,%,±pp,,,,,,,
,AITC,,,42,22, 12,24756985,0.437, 4.64%,,,,,,,
,BJP,,,42,18, 16,23028343,0.406, 22.2%,,,,,,,
,LF,,,,,,,,,,,,,,,
,,,CPI(M),31,0, 2,3594283,0.063,,,,,,,,
,,,AIFB,3,0,,239218,0.004,,,,,,,,
,,,RSP,4,0,,"2,08,275",0.004,,,,,,,,
,,,CPI,3,0,,"2,27,695",0.004,,,,,,,,
,,Total,,41,0, 2,4269471,0.075, 16.72%,,,,,,,
,INC,,,40,2, 2,3210485,0.057, 4.09%,,,,,,,
Total,,,,42,,,57206313,1,,,,,,,,
,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party/alliance,,,,Votes,%,Seats,,,,,,,,,,
,NDA,,Bharatiya Janata Party,235974144,36.56,240,,,,,,,,,,
,,,Telugu Desam Party,12775270,1.98,16,,,,,,,,,,
,,,Janata Dal (United),8039663,1.25,12,,,,,,,,,,
,,,Shiv Sena,7401447,1.15,7,,,,,,,,,,
,,,Lok Janshakti Party (Ram Vilas),2810250,0.44,5,,,,,,,,,,
,,,Janata Dal (Secular),2173701,0.34,2,,,,,,,,,,
,,,Nationalist Congress Party,2059179,0.32,1,,,,,,,,,,
,,,Pattali Makkal Katchi,1879689,0.29,0,,,,,,,,,,
,,,Jana Sena Party,1454138,0.23,2,,,,,,,,,,
,,,Asom Gana Parishad,1298707,0.2,1,,,,,,,,,,
,,,Rashtriya Lok Dal,893460,0.14,2,,,,,,,,,,
,,,Apna Dal (Soneylal),808245,0.13,1,,,,,,,,,,
,,,Bharath Dharma Jana Sena,505753,0.08,0,,,,,,,,,,
,,,Hindustani Awam Morcha,494960,0.08,1,,,,,,,,,,
,,,United People's Party Liberal,488995,0.08,1,,,,,,,,,,
,,,Rashtriya Samaj Paksha,521746,0.08,0,,,,,,,,,,
,,,All Jharkhand Students Union,458677,0.07,1,,,,,,,,,,
,,,National People's Party,417930,0.06,0,,,,,,,,,,
,,,Tamil Maanila Congress,410401,0.06,0,,,,,,,,,,
,,,Amma Makkal Munnettra Kazhagam,393415,0.06,0,,,,,,,,,,
,,,Nationalist Democratic Progressive Party,350967,0.05,0,,,,,,,,,,
,,,Suheldev Bharatiya Samaj Party,340188,0.05,0,,,,,,,,,,
,,,Naga People's Front,299536,0.05,0,,,,,,,,,,
,,,Rashtriya Lok Morcha,253876,0.04,0,,,,,,,,,,
,,,Sikkim Krantikari Morcha,164396,0.03,1,,,,,,,,,,
,,Total,,282668733,43.8,293,,,,,,,,,,
,INDIA,,Indian National Congress,136758952,21.19,99,,,,,,,,,,
,,,Samajwadi Party,29549389,4.58,37,,,,,,,,,,
,,,All India Trinamool Congress,28213393,4.37,29,,,,,,,,,,
,,,Dravida Munnetra Kazhagam,11754710,1.82,22,,,,,,,,,,
,,,Communist Party of India (Marxist),11342553,1.76,4,,,,,,,,,,
,,,Rashtriya Janata Dal,10107402,1.57,4,,,,,,,,,,
,,,Shiv Sena (Uddhav Balasaheb Thackeray),9567779,1.48,9,,,,,,,,,,
,,,Aam Aadmi Party,7147800,1.11,3,,,,,,,,,,
,,,Nationalist Congress Party â€“ Sharadchandra Paw,5921162,0.92,8,,,,,,,,,,
,,,Communist Party of India,3157184,0.49,2,,,,,,,,,,
,,,Jharkhand Mukti Morcha,2652955,0.41,3,,,,,,,,,,
,,,Indian Union Muslim League,1716186,0.27,3,,,,,,,,,,
,,,Communist Party of India (Marxistâ€“Leninist) Liberati,1736761,0.27,2,,,,,,,,,,
,,,Bharat Adivasi Party,1257056,0.19,1,,,,,,,,,,
,,,Vikassheel Insaan Party,1187455,0.18,0,,,,,,,,,,
,,,Jammu and Kashmir National Conference,1147041,0.18,2,,,,,,,,,,
,,,Viduthalai Chiruthaigal Katchi,990237,0.15,2,,,,,,,,,,
,,,Rashtriya Loktantrik Party,596955,0.09,1,,,,,,,,,,
,,,Revolutionary Socialist Party,587363,0.09,1,,,,,,,,,,
